"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"Brood Year","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4","Escapement","Recruits","R/S"
"1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA
"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"0","0",NA,NA,NA
"1957",NA,NA,NA,NA,"0",NA,NA,NA,"1.26013419591392e-08","0",NA,NA,"3.91415684377897e-08","0",NA,"0","0","0",NA,NA,NA
"1958",NA,NA,NA,"1.24801752135747e-08","0",NA,NA,"311993.271078413","5.41973735932539e-09","0",NA,"65871.6955931703","38994.8276753415","0","0","0","0","0",NA,NA,NA
"1959",NA,NA,"39869.8037515951","3.027314953495","0",NA,"4.97704998202916e-07","1.42572418069264e-07","601.631835053041","0","1.26109200527051e-07","169010.846296801","41624.7542104351","0","0","0","0","0",NA,NA,NA
"1960",NA,"1.41751423537394e-08","51365.8478159364","3589.19552440438","0","34662.9019428623","1.24579769110065e-07","213741.414127932","2224.92367394788","0","0","47669.842108658","188106.892863916","0","0","12800.6884543664","0","0",NA,NA,NA
"1961","0","6980.33021072146","51758.969050146","2.46844334672247e-08","0","6.75690486047293e-08","210435.634814627","22240.4808150426","2.21609672783912e-08","0","0","166547.305970813","8209.96334671657","0","0","0","0","0",NA,NA,NA
"1962","0","11313.9376373916","19633.7410940758","10664.7888798476","0","1451.00248237438","30.8085589248334","2.193288634324e-07","22924.7051085326","0","0","66347.7629188134","20282.0346079133","0","0","0","1.14480579293797e-09","0",NA,NA,NA
"1963","0","2.12858520545382e-08","40442.4877793856","38788.9232953817","0","0.000459733442382781","1.47336812787502e-07","4.96062425841608e-05","226.385665918363","0","0","124685.099363518","10697.6835430093","0","0","0","0","0","234820.8018","214840.580156722","0.914912897451497"
"1964","0","13963.9895890665","9660.59500080926","1350.56420360344","0","1.20028433400669e-07","2.94087569903273e-05","51330.1631088867","0","0","0","15074.1527658751","1962.88151105747","0","0","0","0","0","134852.6266","93342.3462088272","0.692180408808049"
"1965","0","2116.99596444676","13934.202324427","0","0","2.69572176100366e-05","86140.1087622058","672473.511216871","3.4484031941831e-06","0","7.62517406486189e-10","5088.87342001168","1.43313366192182e-07","0","0","0","0","0","255793.5021","779753.691718512","3.0483717737821"
"1966","0","4968.43670143304","83442.9337882092","1060.56154503267","0","669.868047131506","91353.3322463138","520070.546104353","1.78107359213406e-09","0.000246029376275652","2.62524719200348e-09","4.87039049382313e-08","1.25348326017719e-09","8.20606497371859e-09","0","0","0","0","233577.6147","701565.678678565","3.0035655581963"
"1967","0","9147.92490703159","26639.7072198541","0","0.000251830831347733","2290.05744378872","118677.086274913","47473.7888034528","4048.09057734382","0","7843.40452592521","4510.13586884221","6402.88877447561","0","0","0","0","0","74002.81765","227033.084647458","3.0678978430419"
